Date,Likes,,,
04/01/2016,"1,840",,,
04/03/2016,"2,121",,,
04/05/2016,"2,024",,,
04/06/2016,"2,427",,,
04/08/2016,"2,244",,,
04/10/2016,"1,844",,,
04/12/2016,"1,546",,,
04/13/2016,"2,509",,,
04/14/2016,"1,867",,,
04/16/2016,"3,025",,,
04/18/2016,"1,749",,,
04/20/2016,"2,865",,,
04/22/2016,"1,118",,,
04/23/2016,"2,485",,,
04/25/2016,"2,419",,,
04/27/2016,"2,364",,,
04/28/2016,"3,139",,,
04/29/2016,"1,984",,,
05/02/2016,"2,722",,,
05/04/2016,"1,881",,,
05/07/2016,"2,542",,,
05/09/2016,"2,844",,,
05/11/2016,"2,127",,,
05/12/2016,"2,154",,,
05/13/2016,"2,246",,,
05/15/2016,"2,795",,,
05/17/2016,"1,952",,,
05/19/2016,"2,567",,,
05/20/2016,"1,858",,,
05/23/2016,"2,497",,,
05/26/2016,"2,265",,,
05/28/2016,"3,495",,,
06/09/2016,"2,776",,,
06/14/2016,"3,600",,,
06/18/2016,"5,417",,,
06/20/2016,"2,196",,,
06/22/2016,"2,288",,,
06/24/2016,"3,868",,,
06/26/2016,"2,239",,,
06/28/2016,"3,209",,,
06/30/2016,"4,519",,,
07/02/2016,"2,541",,,
07/06/2016,"3,062",,,
07/08/2016,"3,957",,,
07/11/2016,"4,577",,,
07/14/2016,"1,682",,,
07/15/2016,"3,020",,,
07/17/2016,"2,598",,,
07/20/2016,"2,453",,,
07/21/2016,"5,179",,,
07/22/2016,"3,589",,,
07/24/2016,"4,384",,,
07/27/2016,"5,210",,,
07/28/2016,"2,691",,,
07/30/2016,"2,683",,,
