Date,Likes,Zoo,,,
04/01/2016,"1,840",Cincinnati,,,
04/03/2016,"2,121",Cincinnati,,,
04/05/2016,"2,024",Cincinnati,,,
04/06/2016,"2,427",Cincinnati,,,
04/08/2016,"2,244",Cincinnati,,,
04/10/2016,"1,844",Cincinnati,,,
04/12/2016,"1,546",Cincinnati,,,
04/13/2016,"2,509",Cincinnati,,,
04/14/2016,"1,867",Cincinnati,,,
04/16/2016,"3,025",Cincinnati,,,
04/18/2016,"1,749",Cincinnati,,,
04/20/2016,"2,865",Cincinnati,,,
04/22/2016,"1,118",Cincinnati,,,
04/23/2016,"2,485",Cincinnati,,,
04/25/2016,"2,419",Cincinnati,,,
04/27/2016,"2,364",Cincinnati,,,
04/28/2016,"3,139",Cincinnati,,,
04/29/2016,"1,984",Cincinnati,,,
05/02/2016,"2,722",Cincinnati,,,
05/04/2016,"1,881",Cincinnati,,,
05/07/2016,"2,542",Cincinnati,,,
05/09/2016,"2,844",Cincinnati,,,
05/11/2016,"2,127",Cincinnati,,,
05/12/2016,"2,154",Cincinnati,,,
05/13/2016,"2,246",Cincinnati,,,
05/15/2016,"2,795",Cincinnati,,,
05/17/2016,"1,952",Cincinnati,,,
05/19/2016,"2,567",Cincinnati,,,
05/20/2016,"1,858",Cincinnati,,,
05/23/2016,"2,497",Cincinnati,,,
05/26/2016,"2,265",Cincinnati,,,
05/28/2016,"3,495",Cincinnati,,,
06/09/2016,"2,776",Cincinnati,,,
06/14/2016,"3,600",Cincinnati,,,
06/18/2016,"5,417",Cincinnati,,,
06/20/2016,"2,196",Cincinnati,,,
06/22/2016,"2,288",Cincinnati,,,
06/24/2016,"3,868",Cincinnati,,,
06/26/2016,"2,239",Cincinnati,,,
06/28/2016,"3,209",Cincinnati,,,
06/30/2016,"4,519",Cincinnati,,,
07/02/2016,"2,541",Cincinnati,,,
07/06/2016,"3,062",Cincinnati,,,
07/08/2016,"3,957",Cincinnati,,,
07/11/2016,"4,577",Cincinnati,,,
07/14/2016,"1,682",Cincinnati,,,
07/15/2016,"3,020",Cincinnati,,,
07/17/2016,"2,598",Cincinnati,,,
07/20/2016,"2,453",Cincinnati,,,
07/21/2016,"5,179",Cincinnati,,,
07/22/2016,"3,589",Cincinnati,,,
07/24/2016,"4,384",Cincinnati,,,
07/27/2016,"5,210",Cincinnati,,,
07/28/2016,"2,691",Cincinnati,,,
07/30/2016,"2,683",Cincinnati,,,
04/02/2016,"13,761",San Diego,,,
04/03/2016,"11,527",San Diego,,,
04/05/2016,"9,362",San Diego,,,
04/06/2016,"11,496",San Diego,,,
04/08/2016,"9,189",San Diego,,,
04/09/2016,"10,663",San Diego,,,
04/12/2016,"10,919",San Diego,,,
04/13/2016,"10,663",San Diego,,,
04/13/2016,"10,648",San Diego,,,
04/15/2016,"9,611",San Diego,,,
04/19/2016,"9,598",San Diego,,,
04/21/2016,"13,488",San Diego,,,
04/23/2016,"11,765",San Diego,,,
04/23/2016,"9,890",San Diego,,,
04/26/2016,"9,401",San Diego,,,
04/27/2016,"8,708",San Diego,,,
04/28/2016,"12,159",San Diego,,,
04/29/2016,"8,825",San Diego,,,
05/03/2016,"9,577",San Diego,,,
05/04/2016,"10,420",San Diego,,,
05/07/2016,"8,943",San Diego,,,
05/09/2016,"10,296",San Diego,,,
05/10/2016,"9,641",San Diego,,,
05/12/2016,"11,319",San Diego,,,
05/13/2016,"12,277",San Diego,,,
05/16/2016,"9,267",San Diego,,,
05/17/2016,"10,047",San Diego,,,
05/19/2016,"10,639",San Diego,,,
05/20/2016,"10,264",San Diego,,,
05/23/2016,"7,031",San Diego,,,
05/26/2016,"11,334",San Diego,,,
05/28/2016,"10,173",San Diego,,,
06/10/2016,"10,137",San Diego,,,
06/15/2016,"7,810",San Diego,,,
06/17/2016,"9,635",San Diego,,,
06/20/2016,"13,205",San Diego,,,
06/22/2016,"10,313",San Diego,,,
06/24/2016,"10,086",San Diego,,,
06/25/2016,"11,975",San Diego,,,
06/28/2016,"9,282",San Diego,,,
06/30/2016,"6,560",San Diego,,,
07/02/2016,"15,226",San Diego,,,
07/06/2016,"17,371",San Diego,,,
07/08/2016,"10,577",San Diego,,,
07/11/2016,"9,767",San Diego,,,
07/14/2016,"7,968",San Diego,,,
07/15/2016,"9,524",San Diego,,,
07/19/2016,"19,108",San Diego,,,
07/20/2016,"11,469",San Diego,,,
07/21/2016,"13,921",San Diego,,,
07/23/2016,"13,414",San Diego,,,
07/24/2016,"10,355",San Diego,,,
07/27/2016,"6,091",San Diego,,,
07/29/2016,"10,725",San Diego,,,
07/30/2016,"10,440",San Diego,,,
04/01/2016,70,WRSingapore,,,
04/04/2016,91,WRSingapore,,,
04/05/2016,92,WRSingapore,,,
04/06/2016,139,WRSingapore,,,
04/08/2016,87,WRSingapore,,,102
04/11/2016,73,WRSingapore,,,
04/12/2016,97,WRSingapore,,,
04/13/2016,152,WRSingapore,,,
04/14/2016,136,WRSingapore,,,
04/15/2016,90,WRSingapore,,,
04/18/2016,86,WRSingapore,,,
04/20/2016,105,WRSingapore,,,
04/21/2016,99,WRSingapore,,,
04/25/2016,84,WRSingapore,,,
04/25/2016,91,WRSingapore,,,
04/27/2016,106,WRSingapore,,,
04/28/2016,87,WRSingapore,,,
04/29/2016,123,WRSingapore,,,
05/02/2016,48,WRSingapore,,,
05/04/2016,143,WRSingapore,,,
05/08/2016,96,WRSingapore,,,
05/09/2016,94,WRSingapore,,,
05/11/2016,62,WRSingapore,,,
05/12/2016,68,WRSingapore,,,
05/13/2016,84,WRSingapore,,,
05/16/2016,112,WRSingapore,,,
05/17/2016,111,WRSingapore,,,
05/18/2016,145,WRSingapore,,,
05/20/2016,150,WRSingapore,,,
05/23/2016,163,WRSingapore,,,
05/26/2016,79,WRSingapore,,,
05/30/2016,82,WRSingapore,,,
06/09/2016,135,WRSingapore,,,
06/14/2016,255,WRSingapore,,,
06/18/2016,155,WRSingapore,,,
06/20/2016,106,WRSingapore,,,
06/22/2016,116,WRSingapore,,,
06/24/2016,222,WRSingapore,,,
06/28/2016,171,WRSingapore,,,
06/29/2016,184,WRSingapore,,,
06/30/2016,301,WRSingapore,,,
07/04/2016,300,WRSingapore,,,
07/06/2016,200,WRSingapore,,,
07/08/2016,277,WRSingapore,,,
07/11/2016,186,WRSingapore,,,
